267,Minh Châu,Xã Minh Châu,11
268,Thạnh An,Xã Thạnh An,12
269,Tam Hải,Xã Tam Hải,13
270,Mao Điền,Xã Mao Điền,14
271,Phong Nẫm,Xã Phong Nẫm,15
272,Dương Nỗ,Phường Dương Nỗ,16
273,Hòn Nghệ,Xã Hòn Nghệ,17
274,Sa Lý,Xã Sa Lý,18
275,U Minh,Xã U Minh,19
276,Thục Phán,Phường Thục Phán,20
277,Hòa Hiệp,Phường Hòa Hiệp,21
278,Mường Nhé,Xã Mường Nhé,22
279,Đak Lua,Xã Đak Lua,23
280,Phong Mỹ,Xã Phong Mỹ,24
281,Canh Liên,Xã Canh Liên,25
282,Thiên Cầm,Xã Thiên Cầm,26
283,Hiệp Cường,Xã Hiệp Cường,27
284,Đô Vinh,Phường Đô Vinh,28
285,Tà Tổng,Xã Tà Tổng,29
286,Quảng Hòa,Xã Quảng Hòa,30
287,Châu Sơn,Xã Châu Sơn,31
288,Phong Dụ Thượng,Xã Phong Dụ Thượng,32
289,Hữu Khuông,Xã Hữu Khuông,33
290,Duy Tân,Phường Duy Tân,34
291,Trung Sơn,Xã Trung Sơn,35
292,Đăk Long,Xã Đăk Long,36
293,Vàng Danh,Phường Vàng Danh,37
294,Phú Trạch,Xã Phú Trạch,38
295,Mường Bám,Xã Mường Bám,39
296,Dương Minh Châu,Xã Dương Minh Châu,40
297,Thượng Quan,Xã Thượng Quan,41
298,Thiệu Quang,Xã Thiệu Quang,42
299,Ngọc Long,Xã Ngọc Long,43
300,Hòa Minh,Xã Hòa Minh,44
523,Ngọc Hồi,Xã Ngọc Hồi,11
524,Xóm Chiếu,Phường Xóm Chiếu,12
525,Núi Thành,Xã Núi Thành,13
526,Việt Hòa,Phường Việt Hòa,14
527,Lai Hòa,Xã Lai Hòa,15
528,Phong Điền,Phường Phong Điền,16
529,Sơn Hải,Xã Sơn Hải,17
530,Biên Sơn,Xã Biên Sơn,18
531,Tân Hưng,Xã Tân Hưng,19
532,Tân Giang,Phường Tân Giang,20
533,Bình Kiến,Phường Bình Kiến,21
534,Sín Thầu,Xã Sín Thầu,22
535,Phú Lý,Xã Phú Lý,23
536,Tân Long,Xã Tân Long,24
537,Nhơn Châu,Xã Nhơn Châu,25
538,Kỳ Xuân,Xã Kỳ Xuân,26
539,Đông Thái Ninh,Xã Đông Thái Ninh,27
540,Phan Rang,Phường Phan Rang,28
541,Mù Cả,Xã Mù Cả,29
542,Quảng Sơn,Xã Quảng Sơn,30
543,Đình Lập,Xã Đình Lập,31
544,Nậm Có,Xã Nậm Có,32
545,Huồi Tụ,Xã Huồi Tụ,33
546,Duy Hà,Phường Duy Hà,34
547,Thu Cúc,Xã Thu Cúc,35
548,Ba Xa,Xã Ba Xa,36
549,Đường Hoa,Xã Đường Hoa,37
550,Cồn Cỏ,Đặc Khu Cồn Cỏ,38
551,Phiêng Khoài,Xã Phiêng Khoài,39
552,Ninh Thạnh,Phường Ninh Thạnh,40
553,Sảng Mộc,Xã Sảng Mộc,41
554,Thọ Phú,Xã Thọ Phú,42
555,Đồng Văn,Xã Đồng Văn,43
556,Long Hòa,Xã Long Hòa,44
779,Tây Mỗ,Phường Tây Mỗ,11
780,Vĩnh Hội,Phường Vĩnh Hội,12
781,Hải Vân,Phường Hải Vân,13
782,Cẩm Giàng,Xã Cẩm Giàng,14
783,Vĩnh Hải,Xã Vĩnh Hải,15
784,Phong Thái,Phường Phong Thái,16
785,Hòa Điền,Xã Hòa Điền,17
786,Tuấn Đạo,Xã Tuấn Đạo,18
787,Tạ An Khương,Xã Tạ An Khương,19
788,Nùng Trí Cao,Phường Nùng Trí Cao,20
789,Phú Hòa 2,Xã Phú Hòa 2,21
790,Mường Toong,Xã Mường Toong,22
791,Xuân Hòa,Xã Xuân Hòa,23
792,Thanh Bình,Xã Thanh Bình,24
793,An Toàn,Xã An Toàn,25
794,Hoành Sơn,Phường Hoành Sơn,26
795,Sơn Nam,Phường Sơn Nam,27
796,Bảo An,Phường Bảo An,28
797,Thu Lũm,Xã Thu Lũm,29
798,Quảng Trực,Xã Quảng Trực,30
799,Kiên Mộc,Xã Kiên Mộc,31
800,Nậm Xé,Xã Nậm Xé,32
801,Bắc Lý,Xã Bắc Lý,33
802,Tây Hoa Lư,Phường Tây Hoa Lư,34
803,Tiền Phong,Xã Tiền Phong,35
804,Cà Đam,Xã Cà Đam,36
805,Hoành Bồ,Phường Hoành Bồ,37
806,Tân Thành,Xã Tân Thành,38
807,Chiềng Cơi,Phường Chiềng Cơi,39
808,Cầu Khởi,Xã Cầu Khởi,40
809,Phú Bình,Xã Phú Bình,41
810,Trung Lý,Xã Trung Lý,42
811,Minh Sơn,Xã Minh Sơn,43
812,Đông Hải,Xã Đông Hải,44
1035,Phú Diễn,Phường Phú Diễn,11
1036,Khánh Hội,Phường Khánh Hội,12
1037,Thạnh Mỹ,Xã Thạnh Mỹ,13
1038,Tân Hưng,Phường Tân Hưng,14
1039,Mỹ Phước,Xã Mỹ Phước,15
1040,Phong Dinh,Phường Phong Dinh,16
1041,Vĩnh Thông,Phường Vĩnh Thông,17
1042,Kinh Bắc,Phường Kinh Bắc,18
1043,Phan Ngọc Hiển,Xã Phan Ngọc Hiển,19
1044,Sơn Lộ,Xã Sơn Lộ,20
1045,Đức Bình,Xã Đức Bình,21
1046,Nậm Kè,Xã Nậm Kè,22
1047,Phước Tân,Phường Phước Tân,23
1048,Tân Thạnh,Xã Tân Thạnh,24
1049,Vân Canh,Xã Vân Canh,25
1050,Sơn Kim 1,Xã Sơn Kim 1,26
1051,Phố Hiến,Phường Phố Hiến,27
1052,Nam Ninh Hòa,Xã Nam Ninh Hòa,28
1053,Pa Ủ,Xã Pa Ủ,29
1054,Ninh Gia,Xã Ninh Gia,30
1055,Thất Khê,Xã Thất Khê,31
1056,Tà Xi Láng,Xã Tà Xi Láng,32
1057,Keng Đu,Xã Keng Đu,33
1058,Thanh Bình,Xã Thanh Bình,34
1059,Liên Sơn,Xã Liên Sơn,35
1060,Vạn Tường,Xã Vạn Tường,36
1061,Thống Nhất,Xã Thống Nhất,37
1062,Đồng Hới,Phường Đồng Hới,38
1063,Suối Tọ,Xã Suối Tọ,39
1064,Lộc Ninh,Xã Lộc Ninh,40
1065,Điềm Thụy,Xã Điềm Thụy,41
1066,Trung Sơn,Xã Trung Sơn,42
1067,Giáp Trung,Xã Giáp Trung,43
1068,Long Hữu,Xã Long Hữu,44
1291,Tây Tựu,Phường Tây Tựu,11
1292,Bình Chánh,Xã Bình Chánh,12
1293,Tân Hiệp,Xã Tân Hiệp,13
1294,Ái Quốc,Phường Ái Quốc,14
1295,Thạnh Phú,Xã Thạnh Phú,15
1296,Phong Phú,Phường Phong Phú,16
1297,Vĩnh Tế,Phường Vĩnh Tế,17
1298,Võ Cường,Phường Võ Cường,18
1299,Đất Mũi,Xã Đất Mũi,19
1300,Hưng Đạo,Xã Hưng Đạo,20
1301,Ea Bá,Xã Ea Bá,21
1302,Quảng Lâm,Xã Quảng Lâm,22
1303,Tam Phước,Phường Tam Phước,23
1304,Long Phú Thuận,Xã Long Phú Thuận,24
1305,Ia Púch,Xã Ia Púch,25
1306,Sơn Kim 2,Xã Sơn Kim 2,26
1307,Hồng Châu,Phường Hồng Châu,27
1308,Vạn Hưng,Xã Vạn Hưng,28
1309,Nậm Cuổi,Xã Nậm Cuổi,29
1310,Phan Rí Cửa,Xã Phan Rí Cửa,30
1311,Đoàn Kết,Xã Đoàn Kết,31
1312,Chế Tạo,Xã Chế Tạo,32
1313,Mường Lống,Xã Mường Lống,33
1314,Thanh Liêm,Xã Thanh Liêm,34
1315,Mai Châu,Xã Mai Châu,35
1316,Mô Rai,Xã Mô Rai,36
1317,Đông Ngũ,Xã Đông Ngũ,37
1318,Đồng Thuận,Phường Đồng Thuận,38
1319,Mường Lạn,Xã Mường Lạn,39
1320,Thạnh Bình,Xã Thạnh Bình,40
1321,Gia Sàng,Phường Gia Sàng,41
1322,Mường Mìn,Xã Mường Mìn,42
1323,Hà Giang 2,Phường Hà Giang 2,43
1324,Long Vĩnh,Xã Long Vĩnh,44
1547,Thượng Cát,Phường Thượng Cát,11
1548,Vĩnh Lộc,Xã Vĩnh Lộc,12
1549,Hoàng Sa,Đặc Khu Hoàng Sa,13
1550,An Khánh,Xã An Khánh,14
1551,Thới Hưng,Xã Thới Hưng,15
1552,Phong Quảng,Phường Phong Quảng,16
1553,Châu Đốc,Phường Châu Đốc,17
1554,Vũ Ninh,Phường Vũ Ninh,18
1555,Sông Đốc,Xã Sông Đốc,19
1556,Bảo Lạc,Xã Bảo Lạc,20
1557,Ea Ly,Xã Ea Ly,21
1558,Nà Hỳ,Xã Nà Hỳ,22
1559,Đăk Ơ,Xã Đăk Ơ,23
1560,Phú Cường,Xã Phú Cường,24
1561,Ia Mơ,Xã Ia Mơ,25
1562,Đan Hải,Xã Đan Hải,26
1563,Tân Hưng,Xã Tân Hưng,27
1564,Tu Bông,Xã Tu Bông,28
1565,Nậm Mạ,Xã Nậm Mạ,29
1566,Tuy Phong,Xã Tuy Phong,30
1567,Tân Tiến,Xã Tân Tiến,31
1568,Lao Chải,Xã Lao Chải,32
1569,Mỹ Lý,Xã Mỹ Lý,33
1570,Hà Nam,Phường Hà Nam,34
1571,Pà Cò,Xã Pà Cò,35
1572,Rờ Kơi,Xã Rờ Kơi,36
1573,Hải Lạng,Xã Hải Lạng,37
1574,Đồng Sơn,Phường Đồng Sơn,38
1575,Tân Yên,Xã Tân Yên,39
1576,Trà Vong,Xã Trà Vong,40
1577,Phan Đình Phùng,Phường Phan Đình Phùng,41
1578,Na Mèo,Xã Na Mèo,42
1579,Ngọc Đường,Xã Ngọc Đường,43
1580,Cái Vồn,Phường Cái Vồn,44
1803,Xuân Đỉnh,Phường Xuân Đỉnh,11
1804,Tân Vĩnh Lộc,Xã Tân Vĩnh Lộc,12
